"","Clearance","Folding","PN-metabolism","PN-signaling","Protein synthesis","Trafficking","ER","HSP100","HSP40","HSP60","HSP70","HSP90","MITO","PFD","sHSP","TPR"
"BladderUrothelialCarcinomaSolidTissueNormal",0,0,0,0,0,0,-4.22932546199004,-2.18488723290059,-3.94368815774927,-1.87601087209185,-0.627175517477755,-2.94119639479387,-2.19579191251717,-1.9468636414646,1.25127998879971,-4.66161227526136
"BladderUrothelialCarcinomaPrimarysolidTumor",0,0,0,0,0,0,-6.37710804395395,-1.23356440250357,-3.28413172895984,-1.00659962127904,-2.75152587145085,-0.842926953531829,-2.34339192215564,-0.281603755536044,-6.60420477584484,-3.79423630740668
"BreastinvasivecarcinomaSolidTissueNormal",0,0,0,0,0,0,0.645323319172544,-3.06537429543866,-3.70114290771256,-1.5474908857216,-0.538488792041192,-2.45796671623334,-2.42154969672442,-2.16563943284812,0.310135369637022,-3.18059920482583
"BreastinvasivecarcinomaPrimarysolidTumor",0,0,0,0,0,0,-7.00906484736815,-2.86997352022443,-1.35175395799295,-1.04215820992434,-1.385578165244,-1.2189822386894,-2.86223088731142,-1.38955828030127,-4.66646172253947,-3.30923728500685
"CervicalsquamouscellcarcinomaandendocervicaladenocarcinomaSolidTissueNormal",0,0,0,0,0,0,-3.93343183268383,-0.213468172456452,-3.69632519717635,-1.50751251987605,-1.18707876768341,-1.16468118435012,-0.830968891184911,-0.383549287771283,6.60716531580982,-4.4597998952304
"CervicalsquamouscellcarcinomaandendocervicaladenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,-6.41249187120106,-1.3738421589623,-3.67467001254307,-0.768524974753498,-1.08701325129911,-0.436578651093011,-2.42262840176448,-0.551770020196281,-5.51673245756863,-4.63208893504312
"CholangiocarcinomaSolidTissueNormal",0,0,0,0,0,0,20.5719118008064,-2.23156835901893,-2.88268642720596,-3.96122360559792,-4.69041333063652,-4.46840423962333,-2.85976890495498,-4.37271219645478,-4.50750984708419,-6.84503645867309
"CholangiocarcinomaPrimarysolidTumor",0,0,0,0,0,0,0.0453477041008973,-2.29951928584693,-0.758648391313193,-1.04373384256762,-3.63619189478551,-0.577453653786769,-2.45925955578972,-1.03940915982867,-3.05259520890573,-3.39676298136037
"EsophagealcarcinomaSolidTissueNormal",0,0,0,0,0,0,-3.49916923675138,-5.4933193880598,-4.13495403731675,-5.26820898794115,-4.4900104767438,-4.75041787779547,-2.95960191166837,-5.89810059651537,-2.12504357299065,-3.70862374889441
"EsophagealcarcinomaPrimarysolidTumor",0,0,0,0,0,0,-5.85960539597601,-3.54348449504482,-3.78728521999309,-1.8390011438427,-0.988469127633676,-2.00565573080219,-2.99362900238554,-3.05243397354871,-6.33375348125677,-3.15278075633888
