"","Clearance","Folding","PN-metabolism","PN-signaling","Protein synthesis","Trafficking","ER","HSP100","HSP40","HSP60","HSP70","HSP90","MITO","PFD","sHSP","TPR"
"BladderUrothelialCarcinomaSolidTissueNormal",0,0,0,0,0,0,7.1802987330429,1.41879808574156,-0.278098682495608,-0.0439848018668197,1.9275751477673,0.484600759361412,1.53337382050248,0.935683051945576,10.194489952676,3.33217035987305
"BladderUrothelialCarcinomaPrimarysolidTumor",0,0,0,0,0,0,6.77037918971346,3.43012323293029,1.38759471554579,2.16097679364163,1.68899109237924,1.89356668914481,4.4572150572336,2.84555158804386,4.47485012251093,3.31131768504245
"BreastinvasivecarcinomaSolidTissueNormal",0,0,0,0,0,0,5.75073584719854,1.22719405748248,1.10455768436116,0.187995805623541,1.36014532733802,0.240348758795085,2.68950615768669,0.185771526828429,7.06710293198053,-0.582277820537177
"BreastinvasivecarcinomaPrimarysolidTumor",0,0,0,0,0,0,2.41442955711353,2.94520772877903,2.14251434127513,2.38361674686654,2.09121090231655,1.15653630672009,2.93192326118334,2.11002193054743,1.90905392389638,-0.389397494461795
"CervicalsquamouscellcarcinomaandendocervicaladenocarcinomaSolidTissueNormal",0,0,0,0,0,0,0.12963701107394,1.06725165876375,0.578325758739237,-0.976172237679212,-0.250018930635856,-0.556814646415725,0.947779068110767,0.816386593402076,7.76035442340487,-3.26896324964263
"CervicalsquamouscellcarcinomaandendocervicaladenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,4.9677040696827,3.01281069017545,3.3586026981787,2.20261504397226,2.62970805911336,2.07733886823807,3.53489878517382,2.52298686222695,1.65626060049668,-1.19791235501129
"CholangiocarcinomaSolidTissueNormal",0,0,0,0,0,0,23.0894966045415,0.708094316352686,-0.789516539132864,-2.79152099895348,-2.74795491994706,-3.13020935632447,-0.967954713381875,-2.86567860356551,-1.10426629116397,-0.563118698940425
"CholangiocarcinomaPrimarysolidTumor",0,0,0,0,0,0,16.306468271033,3.36298950921298,2.5226940701399,1.83676884537359,1.22585539739901,1.5590745466823,3.70624939060602,1.83347630635135,2.37226600736654,3.82932229144492
"EsophagealcarcinomaSolidTissueNormal",0,0,0,0,0,0,9.61683107883429,-1.68574897995099,-0.142623515962897,-1.4741103063602,2.26393517604482,-1.64168058147796,0.617862055370006,-3.4015254990286,9.05129367584542,2.73192436480742
"EsophagealcarcinomaPrimarysolidTumor",0,0,0,0,0,0,10.9209355160816,1.44638131324812,1.4838330500437,1.60126245141657,3.07179936480646,1.18514406205741,6.03431767017643,0.447121860797405,3.86629137887841,3.75909161490282
"GlioblastomamultiformeSolidTissueNormal",0,0,0,0,0,0,-0.0138460385454408,-0.101532320182663,0.745178933985951,-1.05259635822599,1.96422645642751,-0.424025910678676,3.38327612572997,0.0138665890783752,4.19411713087497,3.79945118789901
"GlioblastomamultiformePrimarysolidTumor",0,0,0,0,0,0,-1.62001129972692,1.45343916327149,2.10098092244263,1.56494919808855,1.6278096491473,1.31660263860631,6.6838142065434,2.34015784620855,6.38491494089797,4.62366075267898
"HeadandNecksquamouscellcarcinomaSolidTissueNormal",0,0,0,0,0,0,10.3020667011699,0.93425305985421,0.580852353628134,-0.184383302010589,2.37561285644362,-0.325489832312906,1.7461647156819,-0.275060958374301,12.8322431732748,3.17009429906792
"HeadandNecksquamouscellcarcinomaPrimarysolidTumor",0,0,0,0,0,0,5.49703198318646,1.39655820708954,0.296044954203112,1.98354543050734,2.98333385867276,1.65673632102222,2.93068793715952,1.87286155085201,7.95163570931463,3.27653249630939
"KidneyChromophobeSolidTissueNormal",0,0,0,0,0,0,10.8061986936758,1.97247931216267,2.03948595906144,0.401275952729564,2.66785757158786,-0.343076856028044,2.81106678689364,0.455196452623884,6.2635579374511,5.15008822740114
"KidneyChromophobePrimarysolidTumor",0,0,0,0,0,0,-1.196094359379,2.49529288877237,-0.532213316657699,0.467095579682516,2.0200730972463,-0.174939387819061,3.51271038329472,1.95665700987342,3.71814893730655,2.56677698393961
"KidneyrenalclearcellcarcinomaSolidTissueNormal",0,0,0,0,0,0,11.8432774879302,0.925404151886771,2.14216501489517,0.285066849878419,2.51426959569224,-0.982349016803894,1.28365769270121,-0.215865204801666,6.46329053369482,5.16289812067794
"KidneyrenalclearcellcarcinomaPrimarysolidTumor",0,0,0,0,0,0,4.38479828801256,2.03269996973453,3.85959414591813,0.539685563898903,1.43173517213891,0.996996117533234,2.68183505243995,1.35014047968725,4.98096054100259,4.65319543276379
"KidneyrenalpapillarycellcarcinomaSolidTissueNormal",0,0,0,0,0,0,12.1467753455838,2.03714319507946,2.26011012910669,0.0519544560885032,2.39302151051249,-0.104964256582609,1.07198183104502,-0.0904314130688146,6.5315134945425,4.64813215427575
"KidneyrenalpapillarycellcarcinomaPrimarysolidTumor",0,0,0,0,0,0,4.01596387922125,3.35481861434821,4.13100746204552,1.46802937338789,1.80764251090928,1.70370902740591,5.59815623833097,1.917677004842,3.77509925234501,3.75143647727418
"LiverhepatocellularcarcinomaSolidTissueNormal",0,0,0,0,0,0,23.1144992719166,0.516838123376941,-1.26097671662907,-2.3102467101389,-2.05114838916121,-2.91993381535119,-1.01704902699358,-2.1349114856982,-1.21056027741081,-0.549247719245149
"LiverhepatocellularcarcinomaPrimarysolidTumor",0,0,0,0,0,0,20.7604114665065,1.72808944145048,1.32366341840908,1.44641894510522,0.72249259831346,0.59630512769009,5.52309987645989,1.60829682844324,1.27497731707219,1.43959447828686
